Aadhaar ID name,Gender,Pet Name,Location,Colour/Pattern,Description,Collar colour/type,Neutering status,Date of latest vaccination,Pictures ,Date of survery ( 29/03/26),( 12/4/26)
Dog 1,Male,-,Tulita,chocolate brown,"pointy ears,timid, black snout",no collar,non neutered,not vaccinated,"https://drive.google.com/drive/folders/1VqBKM59gAaWjlJab4r31FiRdE87HfIrn?usp=drive_link",spotted,-
Dog 2,Female,Dora,Tulita,Tan with white patches,"Black snout, dark eye rims,pointy ears",red collar (without QR),neutered,mid of December,"https://drive.google.com/drive/folders/1RF8OeyF2Pw-PVdcuHzoVcHJHjgXUcZhn?usp=drive_link",spotted,-
Dog 3,Male,-,Faculty residence,Light brown,"Old, with some facial scarring",no collar,non neutered,not vaccinated,"https://picsum.photos/seed/dog3/400/300.jpg",not spotted,spotted
Dog 4,Female,Chitti,C Block,Cream,"Pink nose, flop ears",red collar (with QR),non neutered,mid of December,"https://picsum.photos/seed/dog4/400/300.jpg,https://picsum.photos/seed/dog4b/400/300.jpg",spotted,-
Dog 5,Male,Stubby,C Block,Brown,"Stubbed tail, floppy ears",blue collar (with QR),non neutered,not vaccinated,"https://picsum.photos/seed/dog5/400/300.jpg",spotted,-
Dog 6,Male,-,Research block,Brown,"Curled tail, dark muzzle, muscular build",blue collar (with QR),non neutered,not vaccinated,"https://picsum.photos/seed/dog6/400/300.jpg",spotted,-
Dog 7,Female,Jumpy,Wellness clinic,Cream with light brown patches,"very jumpy, always covered in dirt",red collar (with OR),non neutered,not vaccinated,"https://picsum.photos/seed/dog7/400/300.jpg",spotted,-
Dog 8,Male,,Research Block,Tan," Pup, Pointy ears",blue collar (without QR),non neutered,not vaccinated,"https://picsum.photos/seed/dog8/400/300.jpg",spotted,-
Dog 9,Female,-,Research block,Cream,"pup, pointy ears, with scarring under left front limb",red collar(without QR),non neutered,not vaccinated,"https://picsum.photos/seed/dog9/400/300.jpg",spotted,-
Dog 10,Male,,Guest house,Brown,Scars along the Spine,red collar (without QR), neutered,vaccinated,"https://picsum.photos/seed/dog10/400/300.jpg",spotted,-
Dog 11,Female,crema?,Guest house,Cream,"Pointy ears, curled tail",dark green (without QR),neutered,vaccinated,"https://picsum.photos/seed/dog11/400/300.jpg",spotted,-
Dog 12,Male ,socsac,Dining block,Brown,"Old, floppy ears",black(with QR),neutered,not vaccinated,"https://picsum.photos/seed/dog12/400/300.jpg",spotted,-
Dog 13,Male,,Dining block,"White, with brown patches","Young adult, floppy ears",no collar,non neutered,vaccinated,"https://picsum.photos/seed/dog13/400/300.jpg",spotted,-
Dog 14,,,Dining block,"white, black face",young adult,blue collar(with QR),non neutered,vaccinated,"https://picsum.photos/seed/dog14/400/300.jpg",spotted,-
Dog 15,Female,,Dining block,Brown,"old, plump, chipped ear",black(with QR),neutered,not vaccinated,"https://picsum.photos/seed/dog15/400/300.jpg",spotted,-
Dog 16,Female,,Dining block,Brown,"young adult, white tipped tail and paws ",blue(with QR),non neutered,vaccinated,"https://picsum.photos/seed/dog16/400/300.jpg",spotted,-
Dog 17,,,Dining block,white with brown spots,"young adult, spotted",,non neutered,vaccinated,"https://picsum.photos/seed/dog17/400/300.jpg",not spotted,-
Dog 18,Female,,Dining block,White,"thin, pointy ears",black(with QR),neutered,not vaccinated,"https://picsum.photos/seed/dog18/400/300.jpg",not spotted,-
Dog 19,Male,,Faculty residence,Brown,"pink nose, pointy ears , short, chubby",no collar,non neutered,not vaccinated,"https://picsum.photos/seed/dog19/400/300.jpg",-,spotted
Dog 20,Female,,Faculty residence,white with cream patches,"tall, black nose",,neutered,not vaccinated,"https://picsum.photos/seed/dog20/400/300.jpg",-,spotted
Dog 21,Male,,Faculty residence,Black,"solid black, pointy ears",no collar,non neutered,not vaccinated,"https://picsum.photos/seed/dog21/400/300.jpg",-,spotted
Dog 22,Female,,Faculty residence,brown,"pup, pointy ears, jet black eyes and nose",no collar,non neutered,not vaccinated,"https://picsum.photos/seed/dog22/400/300.jpg",-,spotted
Dog 23,Female,,Faculty residence,Brown,"pup, very thin",no collar,non neutered,not vaccinated,"https://picsum.photos/seed/dog23/400/300.jpg",-,spotted
Dog 24,,,B block kitchen,White with brown patches,"pup, floppy brown ears",no collar,non neutered,not vaccinated,"https://picsum.photos/seed/dog24/400/300.jpg",,
Dog 25,,,B block kitchen,Brown,"Brown pup, white feet, black snout with white muzzle, white collar patch",no collar,non neutered,not vaccinated,"https://picsum.photos/seed/dog25/400/300.jpg",,
Dog 26,,,B block kitchen,White with brown patches,"white pup, pointy ears, brown fur surrounding the eyes",no collar,non neutered,not vaccinated,"https://picsum.photos/seed/dog26/400/300.jpg",,
